Loss training	Loss validation
7.771849652726814e-08	1.0487040214002263e-07
9.864634193945676e-07	1.129719407799712e-06
9.439160209012698e-08	1.2129616777656338e-07
1.3446120306070952e-07	9.899807196234178e-08
1.1338710237396299e-07	9.938552381072441e-08
8.464307654776348e-08	1.3208278915044502e-07
1.2821834616261185e-07	1.1866217874967333e-07
7.736053930784692e-08	1.342511239954547e-07
2.449281737426645e-07	1.2314703212723543e-07
3.030653488167445e-07	9.200893202887528e-08
6.689102178825124e-07	4.339700581112993e-07
2.609737634884368e-07	1.847555637368714e-07
4.3042132347181905e-07	4.528942838533112e-07
8.757729119679425e-08	8.210155755250526e-08
5.192833896217053e-08	8.859119304815977e-08
2.847826863217051e-07	4.111844873477821e-07
9.593664174190053e-08	1.0785937831769843e-07
1.8891395825448853e-07	1.464185999111578e-07
1.439666164060327e-07	1.675537077971967e-07
1.739394264177463e-07	2.4501130724274844e-07
7.343160746131616e-08	7.52680122673155e-08
3.6238134271115996e-07	4.464064602416329e-07
1.5659184100513812e-06	1.4879421996738529e-06
2.726137893205305e-07	2.5739947773217864e-07
1.1398073951340848e-07	7.40740873084178e-08
7.181241699072416e-07	8.09439711701998e-07
9.80693641849939e-08	9.055872851604363e-08
1.6160983307145216e-07	1.0910153491749952e-07
7.844957394809171e-08	6.723043810552554e-08
7.199682272585051e-08	6.860523882323832e-08
2.0927275556914537e-07	1.6295437887947628e-07
1.375789224766777e-07	1.4245469515117293e-07
8.756445168955906e-08	8.276403917761854e-08
8.106970028620708e-08	8.043740251650888e-08
1.0851911724785168e-07	9.51577803220971e-08
8.973853482530103e-08	9.209237816776294e-08
8.490229674862348e-08	8.640291326855731e-08
9.260728006665886e-08	7.71615518146973e-08
1.1880436545652628e-07	1.7299505827850226e-07
1.8515066813051817e-07	3.9546264929413155e-07
1.2207148358811537e-07	1.0046812093378321e-07
1.079719993413164e-07	3.010265174907545e-07
1.3487342584994622e-06	1.4721919114890625e-06
2.255156061892194e-07	2.3460601994429453e-07
9.957609137245527e-08	6.787442430322699e-08
1.4784311019866436e-07	1.4132918124687421e-07
1.1462534388329004e-07	1.6855850049068977e-07
8.220292357918879e-08	1.0691368856896588e-07
1.1782782394220703e-07	8.26956707555837e-08
8.759458580698265e-08	8.130705708708774e-08
8.38858085216998e-08	6.491647752682184e-08
1.376309057832259e-07	1.1282528333822484e-07
8.134750828503456e-08	9.001190193203001e-08
6.928614482148987e-08	1.5330466851537494e-07
2.5256468916268204e-07	1.5248802753831114e-07
8.356957437172241e-08	8.96458161037117e-08
1.1597168736443564e-07	1.8634315779308963e-07
1.4871106657210476e-07	9.778585052799826e-08
1.1586176640321355e-07	8.58456132846186e-08
8.957545105658937e-08	8.211215174469544e-08
1.5003097075805272e-07	1.7373908178797137e-07
6.983681544170395e-08	8.176167654028177e-08
3.8681108094351657e-07	2.3574060037390154e-07
1.0475915956931203e-07	7.97770809413123e-08
1.1624356943684688e-07	1.1325800386430274e-07
9.172136117285845e-08	8.542200191641314e-08
7.73183614910522e-08	7.825786951798364e-08
5.7186131385833505e-08	1.0211707035523432e-07
8.206610857541818e-08	8.851515076457872e-08
5.866848340474462e-08	1.511477591975563e-07
7.191213171608979e-07	4.995448534828029e-07
2.6259800733896554e-07	3.0196298439477687e-07
9.230655706460311e-08	8.284818164838725e-08
5.006883156966069e-07	4.3682865680239047e-07
1.330752468220453e-07	1.640965479055012e-07
7.423264491990267e-08	8.371957704866873e-08
9.797440014835956e-08	1.3082062366720493e-07
7.299635740309895e-08	7.859870265747304e-08
8.152120045679112e-08	8.965311337760795e-08
7.05272569234694e-08	6.341937819343002e-08
5.900545119175149e-08	8.943572282760215e-08
1.2146514904998185e-07	1.2530269088983914e-07
5.656485058125327e-08	6.850363121202463e-08
1.0424525953567354e-07	7.927530276674588e-08
1.3733715320540796e-07	1.625359686840966e-07
1.1204619454474596e-07	1.2339290833551786e-07
8.750515689825988e-08	1.202925830057211e-07
7.26217308510968e-08	1.049251068252488e-07
8.0840223404266e-08	7.844572991189125e-08
8.219012670451775e-08	8.12470517530528e-08
7.30012104099842e-08	8.544691354472889e-08
2.3397427639793023e-07	2.194106087927139e-07
1.3155774070128246e-07	1.3363290918277926e-07
9.80496892566407e-08	1.2820329686746845e-07
6.703945132358058e-08	1.2673568505761068e-07
1.0921801418817267e-07	9.944022139052322e-08
2.1745040612586308e-07	1.7464327584093553e-07
1.1024927459857281e-07	9.734850436871056e-08
9.339898099369748e-08	7.901637388840754e-08
1.9949112584072282e-07	2.1105879000060668e-07
1.117191459343303e-07	1.2973802654414612e-07
7.750477237777886e-08	6.938208940709956e-08
1.899577171116107e-07	2.094130024943297e-07
9.569951942012267e-08	1.1585291304072598e-07
6.756988568668021e-08	1.0109109638278824e-07
2.215628001067671e-07	1.4187354224759474e-07
9.815563828396989e-08	7.753679653887957e-08
2.1421371343421924e-07	1.0861761268188275e-07
1.0351472212732915e-07	7.67028396353453e-08
9.83230705742244e-08	1.4287209637586784e-07
1.3382677366280404e-07	1.8593095774122048e-07
1.5868698710619356e-07	1.5690854127115017e-07
9.815104817789688e-08	6.992685541717947e-08
9.373157894287942e-08	8.982158306025667e-08
8.82015029901595e-08	7.871096840972314e-08
1.08125206566001e-07	6.577529632068035e-08
9.120243049665078e-08	9.083121454978027e-08
6.884308589860666e-08	8.178053434448884e-08
6.329106838620646e-08	1.1341884942339675e-07
6.211507752595935e-08	1.5423076149545523e-07
1.0363273617031155e-07	6.957818499131463e-08
7.296023341041291e-08	6.283296727360721e-08
1.8067615314976138e-07	2.609786804441683e-07
2.7226087695453316e-07	2.0094886110655352e-07
2.409183252893854e-07	3.3222886486328207e-07
5.788231760561757e-08	7.841304494604628e-08
7.956022329835832e-08	9.23286975762494e-08
5.4363709978133556e-08	8.11635274544642e-08
7.79323414690225e-08	6.989141354551975e-08
9.093980679608649e-08	7.833897797127065e-08
6.857066381371624e-08	7.00129376696168e-08
7.175466265607611e-08	7.540529622929171e-08
1.0748589573950085e-07	7.801995138834172e-08
1.828835252126737e-07	2.3627023892913712e-07
5.316562692314619e-07	5.028275040785957e-07
1.0159253633901244e-06	1.0759899851109367e-06
1.2271659954876668e-07	1.0398715488690868e-07
1.067059969273032e-07	1.1532294763583195e-07
6.591486112483835e-08	6.253294770885987e-08
6.622430248626188e-08	7.317226646819108e-08
2.1233580582702416e-07	1.8864221829062444e-07
8.237167037350446e-08	7.773667221044889e-08
7.601727247674717e-08	7.658361056428475e-08
7.65978640515641e-08	1.1941118316372012e-07
8.489149649903993e-08	7.415498970431145e-08
6.002754560086032e-08	6.241424443942378e-08
6.201206304012885e-08	1.1013376877144765e-07
9.157072611287731e-08	6.41379003241127e-08
1.1671961885895143e-07	7.573355986778552e-08
1.0008398021454923e-07	1.0546703776981303e-07
8.842093279781693e-08	1.0372403380642936e-07
7.126146783775766e-08	8.364202841448787e-08
1.4022529626345204e-07	1.759028975811816e-07
1.1254508081037784e-07	8.16316756413471e-08
2.908496981035569e-07	3.170680145103688e-07
6.777070638008809e-08	6.803079344308571e-08
9.11536588432682e-08	1.6648441203415132e-07
6.66162804918713e-08	7.578683636211281e-08
6.606134661524266e-08	9.827399338746545e-08
1.394047899339057e-07	1.462300502907965e-07
6.314290601494577e-08	6.672105001825912e-08
9.057781369392615e-08	6.512730976737657e-08
9.91799993244058e-08	7.950123404043552e-08
7.42794625807619e-08	1.4053817665171664e-07
1.7394597762177e-07	1.2503056723289774e-07
8.977511356533796e-08	1.2471875265873678e-07
7.359637521631157e-08	7.119604816807623e-08
7.993354245172668e-08	7.432723236888705e-08
1.0608029299419286e-07	7.828250403463244e-08
8.428003184235422e-08	7.056537754124292e-08
9.092511277231097e-08	6.340559366435627e-08
8.678833296471566e-08	6.911815120247411e-08
3.8707338489984977e-07	4.314585453357722e-07
6.120765760897484e-08	6.955168885269813e-08
6.96280295642282e-08	6.87539412069782e-08
7.853645911382046e-08	7.825392600580017e-08
2.526244031741953e-07	2.3075686783613492e-07
1.2141371996676753e-07	1.5581207435388933e-07
1.7413339037375408e-07	1.5111530160538678e-07
1.0985436915689206e-07	1.1874859495719647e-07
7.726703188382089e-08	1.879371609447844e-07
6.430534682522193e-08	6.8668974506636e-08
5.7659072183469107e-08	6.624608772654028e-08
2.293095917593746e-07	2.846724385108246e-07
8.776242310659654e-08	8.698741282842093e-08
7.627509290841772e-08	7.629950005139108e-08
1.0042089115813724e-07	7.417998659775549e-08
1.3860920944352983e-07	1.287313153852665e-07
5.878331776898449e-08	6.871669455676965e-08
1.9614080315477622e-07	1.5665891339722293e-07
7.142003255466989e-08	7.9204092173768e-08
5.364471888924527e-08	7.934822576771694e-08
1.3624691064251238e-07	1.1873177641064103e-07
1.2265446969195182e-07	1.4287114424860192e-07
1.1380967634977424e-07	1.515960974529662e-07
1.1074752137574251e-07	1.1845838798762998e-07
9.111804644135191e-08	8.779983318163431e-08
1.9237450032960624e-07	1.8397687995275191e-07
1.1124564736064713e-07	1.2080855071872065e-07
8.894922132185457e-08	1.3613376381726994e-07
8.430433240391721e-08	9.803166278743447e-08
1.0719320187035919e-07	8.256167660647407e-08
2.2180330461196718e-07	2.4307047397087445e-07
8.98817589245482e-08	1.1685764889080019e-07
8.719946720248117e-08	9.072859086245444e-08
6.979244915328309e-08	9.083661467457205e-08
8.320857602939213e-08	8.870222245604964e-08
6.513074879421765e-08	7.958544046005045e-08
9.357513874874712e-08	7.113879973985604e-08
9.851022753082361e-08	1.0099483915837482e-07
9.364377717702155e-08	8.879613488943505e-08
7.668093360280182e-08	9.146528867631787e-08
6.381849004810647e-08	6.368767202502568e-08
7.335416540854567e-08	8.688239461207559e-08
6.339755742601483e-08	1.0770303049412178e-07
1.2501723745117488e-07	1.7256138562515844e-07
1.0446383669204806e-07	8.286313146754765e-08
2.0407674128364306e-07	1.53179072981402e-07
1.34698893816676e-07	1.1697573398805616e-07
6.007773833971441e-08	6.533862517699163e-08
7.081271746756101e-08	8.290376030117841e-08
8.003522822264131e-08	9.771950715276034e-08
8.405999096794403e-08	7.790796274775857e-08
3.2699227858756785e-07	3.906797587660549e-07
1.559727280664447e-07	1.6354245246930077e-07
1.0942886774500948e-07	6.897111148873591e-08
7.846283978096835e-08	6.966185850387774e-08
8.917749028114486e-08	8.584526511867807e-08
6.986269340814033e-08	8.913938387422604e-08
1.5165136346695363e-07	1.4512669110899878e-07
7.604954532780539e-08	9.22850418305643e-08
1.0545315376475628e-07	1.1951470924032037e-07
1.1580945624700689e-07	8.239064896997661e-08
7.486789144195427e-08	6.682888908926543e-08
8.703503340257157e-08	9.956655588894137e-08
8.184656508092303e-08	1.0423323715258448e-07
8.323578271074439e-08	6.66197479404218e-08
8.607749180100654e-08	7.051318817730134e-08
1.4122500147095707e-07	7.446893590667969e-08
6.575525901553192e-08	7.51322843939306e-08
7.377670385722013e-08	6.615291425760006e-08
1.6623707210783323e-07	1.3835871470746497e-07
6.573145583388396e-08	1.0217382850896684e-07
6.456291146150761e-08	7.401447277288753e-08
1.0451439180769739e-07	9.788229959895034e-08
5.975688566195458e-08	1.296737934808334e-07
1.1263886534607082e-07	1.1170382663294731e-07
7.274617530583782e-08	8.937255557839308e-08
7.7180004609545e-08	7.139271218647991e-08
3.661895675577398e-07	3.780693305088789e-07
1.3168560997200984e-07	1.1216592810114889e-07
7.48366488778629e-08	7.005959190564681e-08
8.009295271449446e-08	7.63176117857256e-08
1.3051041491962678e-07	1.6366743693652097e-07
1.0517928217268491e-07	1.0152568563626119e-07
2.2096810425864533e-07	2.1955365525627712e-07
7.260845080736544e-08	7.755202346970691e-08
6.574828148586676e-08	7.635197363242696e-08
6.252564332953625e-08	6.77244500479901e-08
1.353830896277941e-07	1.0221922508435455e-07
1.0995196930707607e-07	8.850533816939787e-08
7.579807714819253e-08	7.022583048410524e-08
1.502024815636105e-07	8.57228386053066e-08
6.222431636615511e-08	8.161492814906524e-08
1.0636463798618934e-07	9.879708073867732e-08
6.148547271322968e-08	7.512610977755685e-08
7.620177200351463e-08	7.699023996110554e-08
6.746364533682936e-08	8.038775689556132e-08
9.791924071578251e-08	8.470846069030813e-08
7.045314731612962e-08	8.52256150096764e-08
6.453357315194808e-08	6.980712186077653e-08
6.057872070641679e-08	6.335584856742571e-08
7.393657597276615e-08	8.035761567271038e-08
9.799985178915449e-08	9.713600945815415e-08
7.228413778648246e-08	7.66429621990028e-08
1.8650442257239774e-07	2.1390272308963176e-07
1.149993664739668e-07	1.1241316855148398e-07
8.459684863737493e-08	8.162763975860798e-08
1.146731136714152e-07	1.3004351728795882e-07
1.535861997581378e-07	1.1538834598923131e-07
7.441707339239656e-08	6.822134679396186e-08
5.9502845317638275e-08	7.435396298660635e-08
3.277240807619819e-07	3.9654159422752855e-07
8.315922173096624e-08	9.673539125287789e-08
7.139450985960138e-08	8.569079312792383e-08
7.845250138416304e-08	8.596412470751602e-08
7.477564167857054e-08	9.50186347381532e-08
7.845774518955295e-08	6.671302799077239e-08
7.133922963475925e-08	6.665074891998302e-08
6.496712501302682e-08	6.609245417621423e-08
1.7988699596571678e-07	1.8222247888388665e-07
1.1308021186096084e-07	1.1439534830515186e-07
7.544664981651295e-08	9.887070717695678e-08
6.099584481944476e-08	1.1305964875418795e-07
7.344564068034742e-08	6.772512506358908e-08
1.1550797296422388e-07	7.113214905984933e-08
1.210150912811514e-07	8.458253830667672e-08
9.183028026882312e-08	1.0890867230273216e-07
9.281846047315412e-08	8.292170861068371e-08
5.792397317350151e-08	6.606987312807178e-08
1.284462030071154e-07	1.422471314072027e-07
1.2358010792468122e-07	1.0684027529350715e-07
9.016745394774262e-08	8.287004504836659e-08
5.92036357716097e-08	7.845262928185548e-08
9.594921834832348e-08	1.0995557175874637e-07
6.579402622719499e-08	8.27840054284934e-08
9.845410176012592e-08	1.1038306269028908e-07
7.459625805950054e-08	7.65931886803628e-08
6.146773046111775e-08	9.044771331900847e-08
6.770736149519507e-08	6.852471301499463e-08
1.5565177591270185e-07	1.543656367175572e-07
3.6632516753343225e-07	3.275431197380385e-07
6.344321690221477e-08	6.800896557024316e-08
7.309355964935094e-08	1.0754438761750862e-07
6.564729915226053e-08	1.1837983038276434e-07
9.754920426985336e-08	6.787627881976732e-08
9.652762855694164e-08	7.9831060872948e-08
1.3106941310070397e-07	6.832452470462158e-08
3.271908042279392e-07	2.917310553129937e-07
5.043588657827058e-07	5.541768928196689e-07
1.1273554889612569e-07	1.0462840549507746e-07
1.9776311432906368e-07	1.8875009288876754e-07
7.072038954447635e-08	6.652518180771949e-08
6.132454899443474e-08	7.192532081035097e-08
5.9053064660474774e-08	7.399324175594302e-08
1.8877581453580206e-07	2.2995364190592227e-07
7.05007607848529e-08	7.830335135849964e-08
1.0112583481713955e-07	6.560535581456861e-08
1.275748786611075e-07	8.848390109505999e-08
9.03866066437331e-08	6.501541349734907e-08
6.916110351085081e-08	6.779210082186182e-08
5.699463656583248e-08	7.337376217719793e-08
7.620517550321892e-08	7.317257910699482e-08
5.492537269446984e-08	7.073421670611424e-08
1.205164608109044e-07	1.2135660654166713e-07
1.0908353687000272e-07	8.587655742076095e-08
1.0607770661863469e-07	1.4563235595232982e-07
8.30332211876339e-08	7.377197874802732e-08
6.600350133112443e-08	6.56992042991078e-08
5.774505140720976e-08	6.465897683938238e-08
1.632985942023879e-07	1.7498092574896873e-07
8.340258261796407e-08	7.434889681690038e-08
5.787050127992188e-08	6.249248940548568e-08
1.0460878741014312e-07	1.28067597415793e-07
9.626523223005279e-08	1.0243353898431451e-07
8.555178965252708e-08	9.832554326294485e-08
5.993078389110451e-08	7.158315185051833e-08
7.1891562924975e-08	8.34943136851507e-08
7.220888420533811e-08	7.438122651137746e-08
7.585418870803551e-08	8.524348515948077e-08
2.6895287419392844e-07	2.476966756148613e-07
7.979961935689062e-08	9.772607256763877e-08
7.120758738210498e-08	6.549993258886389e-08
9.0451578671491e-08	9.03501913285254e-08
6.52046949767282e-08	9.710930726214428e-08
1.4580520257823082e-07	8.62341238416775e-08
8.712424914847361e-08	6.923173856421272e-08
6.296295396168716e-08	6.581488065648955e-08
2.4443858137601637e-07	1.7596399004560226e-07
4.854439339396777e-07	4.879513539890468e-07
6.247643824508486e-08	8.688559915981386e-08
1.1244209474625677e-07	1.213139455558121e-07
6.883645653488202e-08	7.10045213736521e-08
6.407134378605406e-08	6.204106739460258e-08
6.604970081980355e-08	6.427101340023e-08
5.859971352606408e-08	7.029850479511879e-08
3.4234085433126893e-07	2.919437349646614e-07
6.73344473511861e-08	8.038625765038887e-08
3.269165063102264e-07	2.444427025238838e-07
7.213101582692616e-08	6.98603699333944e-08
6.669604601938772e-08	7.664712597943435e-08
9.615472151836002e-08	9.419677127198156e-08
1.175808606035389e-07	8.083362956767814e-08
5.18418872275106e-08	6.441633360054766e-08
1.0008972850528153e-07	1.4617998544963484e-07
9.25835763609939e-08	7.215081865297179e-08
7.95159849076299e-08	7.616709041258218e-08
8.157566355748713e-08	6.615286451960856e-08
1.2890110667740373e-07	1.260431048422106e-07
6.66695711970533e-08	7.015660230536014e-08
5.4306049435126624e-08	6.840695476739711e-08
6.502602190039397e-08	6.189758039454318e-08
6.747451664068649e-08	7.392864631583507e-08
7.454920591953851e-08	6.189755197283375e-08
9.654164045969083e-08	9.084884311505448e-08
8.625749359225665e-08	8.531861084293269e-08
1.4373733847605763e-07	1.5514658002757642e-07
6.698741117361351e-08	7.123864520508505e-08
1.9552815899714915e-07	1.1889238038520489e-07
1.455439075925824e-07	1.800285360786802e-07
9.233727382707002e-08	7.70152510654043e-08
9.268381973015494e-08	7.678952584910803e-08
7.035443161385047e-08	7.22796400509651e-08
6.497192828192055e-08	7.666427137564824e-08
7.053482420360524e-08	6.71447253353108e-08
6.630664017848176e-08	6.648734540704027e-08
6.655648832065708e-08	7.978040628131566e-08
7.130446988412587e-08	8.306597720775244e-08
6.994173418206628e-08	9.335734318938194e-08
5.855450879721502e-08	6.292609810998329e-08
1.8496450593374902e-07	1.8001584578541951e-07
1.105308697901819e-07	6.683976039312256e-08
8.200272816338838e-08	8.319686628510681e-08
9.723100902192527e-08	7.283308178784864e-08
7.072166852140072e-08	9.66970787885657e-08
7.672238666600606e-08	8.249112681824045e-08
7.091374243373139e-08	8.229985581920118e-08
1.5084476956417348e-07	1.7527253248772467e-07
7.58057581151661e-08	8.348830249360617e-08
9.381537324770761e-08	9.761225072679736e-08
6.488912163149507e-08	8.200152734616495e-08
5.979032380309945e-08	6.217909742645134e-08
8.563739584133145e-08	1.0496453484165613e-07
9.626324271039266e-08	8.121290306917217e-08
6.85541294842551e-08	8.675208107433718e-08
8.558697572880192e-08	7.457137485289422e-08
7.397218837468245e-08	6.650349604342409e-08
1.3438767609841307e-07	1.5819306042885728e-07
6.115725170730002e-08	6.375091743393568e-08
1.7820975983795506e-07	1.7779751715352177e-07
7.410659463857883e-08	7.094872955804021e-08
8.435519305294292e-08	1.0924038917892176e-07
2.668088541213365e-07	2.2797968313170713e-07
6.845353794915354e-08	7.097270326994476e-08
7.467009055517337e-08	7.323382789081734e-08
1.0639256942113207e-07	8.252042249523583e-08
1.9229076997362426e-07	2.1385295667641913e-07
7.05949432244779e-08	6.422737186539962e-08
1.1915717124111325e-07	1.232724571309518e-07
6.39910808786226e-08	7.853163452864464e-08
6.377754857567197e-08	8.333226730883325e-08
8.209282498228276e-08	7.102445209739017e-08
5.504721798388346e-07	5.196055781198083e-07
1.354684400212136e-07	1.5604206282660016e-07
1.0997048605076998e-07	8.680354568468829e-08
9.176294213375513e-08	7.751894770535728e-08
8.538816587133624e-08	7.27697582192377e-08
6.913406025432778e-08	6.709435496077276e-08
8.585525534954286e-08	9.691422775404135e-08
8.22905690256448e-08	8.531284834134567e-08
6.670980212675204e-08	8.03230904011798e-08
8.283384289597961e-08	7.160886639212549e-08
9.081406915356638e-08	8.401300988225557e-08
